ManagerID,AttritionRisk,EmployeeEngagement,EmployeeSatisfaction,StressScore,LeaderScore,LeaderQuality
0_3_2,0.11967096437374934,2.909090909090909,2.8181818181818183,2.4545454545454546,1.5994043415232277,Good
1_0_2,0.11856019089520681,2.6666666666666665,3.0370370370370368,2.7777777777777777,1.5822055532715469,Good
1_5_2,0.13108997045413215,2.8076923076923075,2.7435897435897436,2.423076923076923,1.5608973451516805,Good
0_1_0,0.17703750449554828,2.878787878787879,2.737373737373737,2.303030303030303,1.5602961093128918,Good
1_3_2,0.12016564923360172,2.739130434782609,2.7971014492753623,2.5,1.5591801171181539,Good
1_2_1,0.1309627762421368,2.805084745762712,2.694915254237288,2.305084745762712,1.5554114996726371,Good
1_3_1,0.16824335102663285,3.0,2.5833333333333335,2.375,1.5543693262560137,Good
2_3_2,0.13483573480059224,2.787878787878788,2.7070707070707067,2.3636363636363638,1.5505101505242076,Good
1_4_1,0.12860223960479064,2.7333333333333334,2.7679012345679013,2.4814814814814814,1.5495467584790716,Good
1_6_1,0.1272039884381389,2.7758620689655173,2.695402298850575,2.603448275862069,1.53923334715348,Not Good
2_7_1,0.1443591580597701,2.7596153846153846,2.7115384615384617,2.46474358974359,1.5378973624171177,Not Good
1_0_1,0.13569987609968973,2.721311475409836,2.7295081967213113,2.5655737704918034,1.5332610331666816,Not Good
1_4_2,0.1202075563009078,2.6,2.8666666666666663,2.8,1.5332503108129703,Not Good
0_1_1,0.13519352902129028,2.710526315789474,2.649122807017544,2.3684210526315788,1.5231155708476245,Not Good
2_8_0,0.20923296141606615,2.8026315789473686,2.6842105263157894,2.3684210526315788,1.5189383943809422,Not Good
1_6_0,0.18647075725715503,2.7286324786324787,2.745014245014245,2.6666666666666665,1.513474375159816,Not Good
1_5_1,0.1443903462740656,2.8392857142857144,2.416666666666667,2.4285714285714284,1.4962914805379928,Not Good
1_2_0,0.2071861219998285,2.6775,2.7,2.585,1.4892255512000687,Not Good
2_7_2,0.19640791863479054,2.75,2.666666666666667,2.9285714285714284,1.4876273087365603,Not Good
2_8_1,0.1760418271462529,2.4285714285714284,2.761904761904762,2.7142857142857144,1.4591070786653084,Not Good
2_3_1,0.13078807334460915,2.25,3.0,3.75,1.4476847706621565,Not Good
